dateTime,artist,song
6/24/2021 14:29:00,Yabadum,All the Funds
6/24/2021 14:24:00,Yabadum,Winter
6/24/2021 14:18:00,Yabadum,Mountain Man
6/24/2021 14:15:00,Yabadum,Cosmos
6/24/2021 14:15:00,Yabadum,Ball and Chain
6/24/2021 14:07:00,Yabadum,Look Alive
6/24/2021 14:07:00,Yabadum,All the Funds
6/24/2021 14:01:00,Yabadum,All the Funds
6/24/2021 13:56:00,Yabadum,Winter
6/24/2021 13:51:00,Yabadum,Mountain Man
6/24/2021 13:47:00,Yabadum,Cosmos
6/24/2021 13:47:00,Yabadum,Ball and Chain
6/24/2021 13:44:00,Yabadum,Look Alive
6/24/2021 13:44:00,Yabadum,Ball and Chain
6/24/2021 13:40:00,Yabadum,Look Alive
6/24/2021 13:33:00,Yabadum,All the Funds
6/24/2021 13:28:00,Yabadum,Winter
6/24/2021 13:23:00,Yabadum,Mountain Man
6/24/2021 13:19:00,Yabadum,Cosmos
6/24/2021 13:16:00,Yabadum,Ball and Chain
6/24/2021 12:52:00,Yabadum,Look Alive
6/24/2021 12:45:00,Yabadum,All the Funds
6/24/2021 12:40:00,Yabadum,Winter
6/24/2021 12:35:00,Yabadum,Mountain Man
6/24/2021 12:31:00,Yabadum,Cosmos
6/24/2021 12:24:00,Yabadum,Ball and Chain
6/24/2021 12:23:00,Jontha Links,Duracell
6/24/2021 11:13:00,Jontha Links,Duracell
6/24/2021 11:09:00,Sir Sly,Astronaut
6/24/2021 11:06:00,Lord Huron,Love Me Like You Used To
6/24/2021 11:02:00,Gym Class Heroes,Cupid's Chokehold / Breakfast in America
6/24/2021 10:59:00,SAFARIO,Pressure Love
6/24/2021 10:55:00,SAFARIO,Pressure Love
6/24/2021 10:53:00,Surf Curse,Freaks
6/24/2021 10:43:00,Arctic Monkeys,I Wanna Be Yours
6/24/2021 10:39:00,Wallows,Drunk on Halloween
6/24/2021 10:36:00,alt-J,Left Hand Free
6/24/2021 10:33:00,Lowertown,New Song
6/24/2021 10:30:00,Cage the Elephant,Cigarette Daydreams
6/24/2021 10:26:00,Saint Motel,For Elise
6/24/2021 10:24:00,Role Model,better the first time
6/24/2021 10:22:00,Surf Curse,Freaks
6/21/2021 23:12:00,Carwash,striptease
6/21/2021 23:08:00,One Direction,Clouds
6/21/2021 23:05:00,Jontha Links,Duracell
6/21/2021 23:02:00,Lowertown,New Song
6/21/2021 22:58:00,The Neighbourhood,The Beach
6/21/2021 22:53:00,Daniel Caesar,Japanese Denim
6/21/2021 22:46:00,Tame Impala,One More Hour
6/21/2021 21:08:00,Tame Impala,Breathe Deeper
6/21/2021 21:02:00,Tame Impala,Posthumous Forgiveness
6/21/2021 20:56:00,Tame Impala,Tomorrow's Dust
6/21/2021 20:51:00,Tame Impala,On Track
6/21/2021 20:49:00,Tame Impala,Glimmer
6/21/2021 20:44:00,Tame Impala,It Might Be Time
6/21/2021 20:37:00,Tame Impala,One More Hour
6/21/2021 20:32:00,Tame Impala,One More Year
6/21/2021 20:28:00,Tame Impala,Is It True
6/21/2021 20:25:00,Tame Impala,Instant Destiny
6/21/2021 20:21:00,Tame Impala,Borderline
6/21/2021 20:17:00,Cavetown,Devil Town
6/21/2021 17:38:00,Fiji Blue,Waves
6/21/2021 17:35:00,Fiji Blue,Day by Day
6/21/2021 17:33:00,Fiji Blue,Waves
6/20/2021 18:51:00,The Growlers,Dope on a Rope
6/20/2021 18:47:00,mehro,chance with you
6/20/2021 18:42:00,The Strokes,The Adults Are Talking
6/20/2021 16:41:00,Del Water Gap,High Tops (Stripped)
6/20/2021 16:38:00,Hoax,Beach House
6/20/2021 16:34:00,The Neighbourhood,W.D.Y.W.F.M?
6/20/2021 16:30:00,Flor,lmho
6/20/2021 16:27:00,The Greeting Committee,Pull It Together
6/20/2021 16:23:00,Bastille,The Anchor
6/20/2021 16:19:00,Mt. Joy,Sheep
6/20/2021 16:16:00,half•alive,The Fall
6/20/2021 16:13:00,Wallows,I'm Full
